time,ax,ay,az,aT
3.067,1.42,0.10,-1.14,1.82
3.072,0.88,0.22,-1.54,1.79
3.077,0.20,0.19,-1.93,1.95
3.082,-0.36,0.19,-2.18,2.22
3.092,-1.04,0.42,-2.44,2.69
3.094,-1.70,0.82,-2.53,3.16
3.097,-2.11,1.08,-2.37,3.35
3.137,-2.30,1.12,-2.18,3.36
3.138,-2.37,1.09,-2.13,3.37
3.139,-2.17,1.03,-2.09,3.19
3.140,-1.82,0.95,-1.83,2.75
3.140,-1.62,0.76,-1.94,2.65
3.141,-1.16,0.32,-2.11,2.43
3.142,-0.51,-0.07,-2.04,2.10
3.143,-0.03,-0.19,-1.80,1.81
3.144,0.20,0.01,-1.45,1.46
3.150,0.23,0.41,-1.14,1.23
